Scene,Start Time,End Time,Duration (seconds)
1,0.0,1.168,2
2,1.168,4.471,4
3,4.471,5.906,2
4,5.906,7.474,2
5,7.474,8.642,2
6,8.642,10.277,2
7,10.277,11.645,2
8,11.645,14.882,4
9,14.882,38.872,24
10,38.872,57.891,20
11,57.891,77.911,21
12,77.911,157.891,80
13,157.891,158.992,2
14,158.992,164.998,7
15,164.998,185.018,21
16,185.018,297.13,113
17,297.13,371.671,75
18,371.671,422.255,51
19,422.255,428.261,7
20,428.261,429.262,2
21,429.262,432.265,4
22,432.265,433.266,2
23,433.266,456.489,24
24,456.489,464.931,9
25,464.931,511.611,47
26,511.611,538.571,27
27,538.571,540.34,2
28,540.34,542.409,3
29,542.409,549.916,8
30,549.916,552.485,3
31,552.485,555.688,4
32,555.688,560.927,6
33,560.927,571.871,11
34,571.871,573.373,2
35,573.373,578.311,5
36,578.311,580.346,3
37,580.346,616.316,36
38,616.316,619.119,3
39,619.119,624.858,6
40,624.858,628.194,4
41,628.194,633.933,6
42,633.933,636.803,3
43,636.803,639.873,4
44,639.873,641.374,2
45,641.374,649.048,8
46,649.048,653.486,5
47,653.486,659.559,7
48,659.559,662.462,3
49,662.462,668.768,7
50,668.768,705.171,37
51,705.171,712.979,8
52,712.979,715.148,3
53,715.148,716.916,2
54,716.916,719.886,3
